Time        Speed       Wheel       Brake       Acceleration 
0.00        0.00        0.00        0.00        0.00        
0.02        0.44        0.00        0.00        0.00        
0.04        0.88        0.00        0.00        0.00        
0.06        1.31        0.00        0.00        0.00        
0.08        1.75        0.00        0.00        0.00        
0.10        2.19        0.00        0.00        0.00        
0.12        2.63        0.00        0.00        0.00        
0.14        3.07        0.00        0.00        0.00        
0.16        3.50        0.00        0.00        0.00        
0.18        3.94        0.00        0.00        0.00        
0.20        4.38        0.00        0.00        0.00        
0.22        4.82        0.00        0.00        0.00        
0.24        5.26        0.00        0.00        0.00        
0.26        5.69        0.00        0.00        0.00        
0.28        6.13        0.00        0.00        0.00        
0.30        6.57        0.00        0.00        0.00        
0.32        7.01        0.00        0.00        0.00        
0.34        7.45        0.00        0.00        0.00        
0.36        7.88        0.00        0.00        0.00        
0.38        8.32        0.00        0.00        0.00        
0.40        8.76        0.00        0.00        0.00        
0.42        9.20        0.00        0.00        0.00        
0.44        9.64        0.00        0.00        0.00        
0.46        10.07        0.00        0.00        0.00        
0.48        10.51        0.00        0.00        0.00        
0.50        10.95        0.00        0.00        0.00        
0.52        11.39        0.00        0.00        0.00        
0.54        11.83        0.00        0.00        0.00        
0.56        12.26        0.00        0.00        0.00        
0.58        12.70        0.00        0.00        0.00        
0.60        13.14        0.00        0.00        0.00        
0.62        13.58        0.00        0.00        0.00        
0.64        14.02        0.00        0.00        0.00        
0.66        14.45        0.00        0.00        0.00        
0.68        14.89        0.00        0.00        0.00        
0.70        15.33        0.00        0.00        0.00        
0.72        15.77        0.00        0.00        0.00        
0.74        16.21        0.00        0.00        0.00        
0.76        11.68        0.00        0.00        0.00        
0.78        7.55        0.00        0.00        0.00        
0.80        5.22        0.00        0.00        0.00        
0.82        0.93        0.00        0.00        0.00        
0.84        1.19        0.00        0.00        0.00        
0.86        2.54        0.00        0.00        0.00        
0.88        3.28        0.00        0.00        0.00        
0.90        3.54        0.00        0.00        0.00        
0.92        3.42        0.00        0.00        0.00        
0.94        3.04        0.00        0.00        0.00        
0.96        2.49        0.00        0.00        0.00        
0.98        1.92        0.00        0.00        0.00        
1.00        1.43        0.00        0.00        0.00        
1.02        0.98        0.00        0.00        0.00        
1.04        0.53        0.00        0.00        0.00        
1.06        0.10        0.00        0.00        0.00        
1.08        0.35        0.00        0.00        0.00        
1.10        0.78        0.00        0.00        0.00        
1.12        1.14        0.00        0.00        0.00        
1.14        1.14        0.00        0.00        0.00        
